WARN [01-30|16:18:02] No etherbase set and no accounts found as default 
INFO [01-30|16:18:02] Starting peer-to-peer node               instance=Geth/v1.7.3-stable/darwin-amd64/go1.9.3
INFO [01-30|16:18:02] Allocated cache and file handles         database=/Users/kareem/Library/Ethereum/rinkeby/geth/chaindata cache=128 handles=1024
INFO [01-30|16:18:02] Writing custom genesis block 
INFO [01-30|16:18:02] Initialised chain configuration          config="{ChainID: 4 Homestead: 1 DAO: <nil> DAOSupport: true EIP150: 2 EIP155: 3 EIP158: 3 Byzantium: 1035301 Engine: clique}"
INFO [01-30|16:18:02] Initialising Ethereum protocol           versions="[63 62]" network=4
INFO [01-30|16:18:02] Loaded most recent local header          number=0 hash=6341fd…67e177 td=1
INFO [01-30|16:18:02] Loaded most recent local full block      number=0 hash=6341fd…67e177 td=1
INFO [01-30|16:18:02] Loaded most recent local fast block      number=0 hash=6341fd…67e177 td=1
INFO [01-30|16:18:02] Regenerated local transaction journal    transactions=0 accounts=0
INFO [01-30|16:18:02] Starting P2P networking 
2018/01/30 16:18:04 ssdp: got unexpected search target result "urn:schemas-upnp-org:device:WANConnectionDevice:1"
2018/01/30 16:18:04 ssdp: got unexpected search target result "urn:schemas-upnp-org:device:WANConnectionDevice:1"
2018/01/30 16:18:04 ssdp: got unexpected search target result "urn:schemas-upnp-org:device:WANConnectionDevice:1"
INFO [01-30|16:18:04] UDP listener up                          self=enode://1930491b09d54dc4101e18e9e4a406cf4684feae0e44cb2a577e072aed1b4a228d92c1a676ce5dcba73c16521054bd092ed632a44322d0dd5280429e3bd25ece@100.71.142.156:30303
INFO [01-30|16:18:04] RLPx listener up                         self=enode://1930491b09d54dc4101e18e9e4a406cf4684feae0e44cb2a577e072aed1b4a228d92c1a676ce5dcba73c16521054bd092ed632a44322d0dd5280429e3bd25ece@100.71.142.156:30303
INFO [01-30|16:18:04] IPC endpoint opened: /Users/kareem/Library/Ethereum/rinkeby/geth.ipc 
INFO [01-30|16:18:04] Mapped network port                      proto=udp extport=30303 intport=30303 interface="UPNP IGDv1-IP1"
INFO [01-30|16:18:04] Mapped network port                      proto=tcp extport=30303 intport=30303 interface="UPNP IGDv1-IP1"
INFO [01-30|16:18:24] Block synchronisation started 
INFO [01-30|16:18:25] Imported new block headers               count=192 elapsed=89.297ms number=192 hash=8c570c…ba360c ignored=0
INFO [01-30|16:18:25] Imported new block receipts              count=54  elapsed=604.294µs bytes=216 number=54  hash=dafe6e…02bf13 ignored=0
INFO [01-30|16:18:25] Imported new block receipts              count=138 elapsed=3.639ms   bytes=1058 number=192 hash=8c570c…ba360c ignored=0
INFO [01-30|16:18:25] Imported new block headers               count=192 elapsed=102.327ms number=384 hash=6d95fa…a59e49 ignored=0
INFO [01-30|16:18:25] Imported new block receipts              count=192 elapsed=1.365ms   bytes=768  number=384 hash=6d95fa…a59e49 ignored=0
INFO [01-30|16:18:26] Imported new state entries               count=490 elapsed=12.779µs  processed=490 pending=7841 retry=0 duplicate=0 unexpected=0
INFO [01-30|16:18:26] Imported new block headers               count=192 elapsed=84.874ms  number=576 hash=8cb307…7e165a ignored=0
INFO [01-30|16:18:26] Imported new block receipts              count=192 elapsed=1.431ms   bytes=768  number=576 hash=8cb307…7e165a ignored=0
INFO [01-30|16:18:26] Imported new block headers               count=192 elapsed=88.026ms  number=768 hash=d2f106…d25b87 ignored=0
INFO [01-30|16:18:26] Imported new block receipts              count=192 elapsed=1.837ms   bytes=768  number=768 hash=d2f106…d25b87 ignored=0
INFO [01-30|16:18:27] Imported new state entries               count=384 elapsed=5.552µs   processed=874 pending=11055 retry=0 duplicate=0 unexpected=0
INFO [01-30|16:18:27] Imported new block headers               count=192 elapsed=92.687ms  number=960 hash=413833…8d126d ignored=0
INFO [01-30|16:18:27] Imported new block receipts              count=192 elapsed=5.703ms   bytes=768  number=960 hash=413833…8d126d ignored=0
INFO [01-30|16:18:27] Imported new block headers               count=192 elapsed=86.534ms  number=1152 hash=9d3964…5b5a49 ignored=0
INFO [01-30|16:18:27] Imported new block receipts              count=192 elapsed=1.396ms   bytes=768  number=1152 hash=9d3964…5b5a49 ignored=0
INFO [01-30|16:18:27] Imported new block headers               count=192 elapsed=90.087ms  number=1344 hash=4524ae…5d3fff ignored=0
INFO [01-30|16:18:27] Imported new block receipts              count=192 elapsed=1.519ms   bytes=768  number=1344 hash=4524ae…5d3fff ignored=0
INFO [01-30|16:18:28] Imported new state entries               count=768 elapsed=2.973ms   processed=1642 pending=11329 retry=0 duplicate=0 unexpected=0
INFO [01-30|16:18:28] Imported new block headers               count=192 elapsed=89.332ms  number=1536 hash=ebcd68…10b559 ignored=0
INFO [01-30|16:18:28] Imported new block receipts              count=192 elapsed=1.923ms   bytes=768  number=1536 hash=ebcd68…10b559 ignored=0
INFO [01-30|16:18:29] Imported new state entries               count=384 elapsed=3.259ms   processed=2026 pending=11443 retry=0 duplicate=0 unexpected=0
INFO [01-30|16:18:29] Imported new block headers               count=192 elapsed=89.852ms  number=1728 hash=7eff72…2707a2 ignored=0
INFO [01-30|16:18:29] Imported new block receipts              count=192 elapsed=1.703ms   bytes=768  number=1728 hash=7eff72…2707a2 ignored=0
INFO [01-30|16:18:29] Imported new block headers               count=192 elapsed=97.701ms  number=1920 hash=d7b761…1129c2 ignored=0
INFO [01-30|16:18:29] Imported new block receipts              count=192 elapsed=1.635ms   bytes=768  number=1920 hash=d7b761…1129c2 ignored=0
INFO [01-30|16:18:30] Imported new block headers               count=192 elapsed=96.222ms  number=2112 hash=cc3a9a…11d37c ignored=0
INFO [01-30|16:18:30] Imported new block receipts              count=192 elapsed=1.583ms   bytes=768  number=2112 hash=cc3a9a…11d37c ignored=0
INFO [01-30|16:18:30] Imported new state entries               count=1152 elapsed=6.538ms   processed=3178 pending=10878 retry=0 duplicate=0 unexpected=0
INFO [01-30|16:18:31] Imported new block headers               count=192  elapsed=85.581ms  number=2304 hash=59a265…e4db8b ignored=0
INFO [01-30|16:18:31] Imported new block receipts              count=192  elapsed=1.565ms   bytes=768  number=2304 hash=59a265…e4db8b ignored=0
INFO [01-30|16:18:31] Imported new block headers               count=192  elapsed=91.402ms  number=2496 hash=dd9acd…90331d ignored=0
INFO [01-30|16:18:31] Imported new block receipts              count=192  elapsed=1.833ms   bytes=768  number=2496 hash=dd9acd…90331d ignored=0
INFO [01-30|16:18:31] Imported new state entries               count=384  elapsed=1.789ms   processed=3562 pending=10823 retry=0 duplicate=0 unexpected=0
INFO [01-30|16:18:31] Imported new block headers               count=192  elapsed=90.028ms  number=2688 hash=d6eab2…23c318 ignored=0
